resume_id,direct_vision,docling_text,docling_minus_direct
sql_developer__0b8431fc6fb166a7,0.9909,0.9909,0.0
sap_developer__Image_100,0.8419,0.8467,0.0048000000000000265
network_security_engineer__3271dd46520c65b9,0.9,0.9778,0.07779999999999998
data_science__Image_50,0.65,0.75,0.09999999999999998
