strategy,certifications_f1,certifications_precision,certifications_recall,coverage,education_f1,education_field_f1,education_field_precision,education_field_recall,education_precision,education_recall,experience_f1,experience_location_f1,experience_location_precision,experience_location_recall,experience_precision,experience_recall,input_units,job_titles_f1,job_titles_precision,job_titles_recall,model_seconds,name_match,page_count,pii_clean,preprocess_seconds,profile_f1_macro,projects_f1,projects_precision,projects_recall,provider_retries,rss_after_mb,rss_before_mb,schema_valid,skills_f1,skills_precision,skills_recall,technologies_f1,technologies_precision,technologies_recall,temperature,total_seconds,experience_date_accuracy,experience_date_support,education_date_accuracy,education_date_support
direct_vision,1.0,1.0,1.0,0.8800000000000001,0.4,1.0,1.0,1.0,0.4,0.4,0.65,0.97142,0.95,1.0,0.65,0.65,2708621.6,0.65,0.65,0.65,244.0761974,1.0,1.0,1.0,1.1120286,0.8161200000000001,0.8,0.8,0.8,0.6,732.3672,756.4296,1.0,0.68984,0.62022,0.82304,1.0,1.0,1.0,0.0,245.2165532,1.0,12,1.0,2
docling_text,1.0,1.0,1.0,0.825,0.75,1.0,1.0,1.0,0.75,0.75,0.75,1.0,1.0,1.0,0.75,0.75,2366.75,1.0,1.0,1.0,68.87344175,1.0,1.0,1.0,10.05229175,0.89135,0.75,0.75,0.75,0.0,2531.80175,1992.9189999999999,1.0,0.6634,0.5778,0.8092,1.0,1.0,1.0,0.0,78.9350925,1.0,10,0.5,4
