experiment,successful_resumes,profile_f1_macro,education_f1,skills_f1,job_titles_f1,experience_f1,projects_f1
Strict original,5,0.88674,0.53334,0.76278,1.0,0.8,0.8
Normalized rescore,5,0.9334200000000001,1.0,0.76278,1.0,0.8,0.8
